wl,sci,sce
360,6.78000000,6.76000000
370,8.04000000,8.02000000
380,11.24000000,11.22000000
390,18.35000000,18.32000000
400,29.81000000,29.78000000
410,38.35000000,38.32000000
420,40.76000000,40.72000000
430,41.33000000,41.29000000
440,41.68000000,41.65000000
450,41.98000000,41.95000000
460,41.99000000,41.97000000
470,41.83000000,41.80000000
480,41.64000000,41.61000000
490,41.66000000,41.63000000
500,41.85000000,41.83000000
510,42.17000000,42.15000000
520,42.53000000,42.52000000
530,42.87000000,42.86000000
540,43.18000000,43.18000000
550,43.38000000,43.37000000
560,43.59000000,43.59000000
570,43.81000000,43.82000000
580,43.93000000,43.93000000
590,43.88000000,43.89000000
600,43.71000000,43.72000000
610,43.48000000,43.50000000
620,43.15000000,43.17000000
630,42.86000000,42.89000000
640,42.55000000,42.59000000
650,42.22000000,42.26000000
660,41.96000000,42.02000000
670,41.59000000,41.65000000
680,41.31000000,41.37000000
690,41.04000000,41.11000000
700,40.71000000,40.78000000
710,40.50000000,40.56000000
720,40.19000000,40.24000000
730,39.97000000,40.01000000
740,39.58000000,39.63000000
