ID,Name,V(λ) Reflectance,M(λ) Reflectance,M/P Ratio,L*,a*,b*,R_reflectance,G_reflectance,B_reflectance,Specularity,Roughness
00001,"White Painted Room Walls","","","0.95","91.99","-0.28","5.53","83.16%","81.16%","72.26%","0.36%","0.20"
00002,"Dark Grey Floor Tiles","","","0.95","51.76","0.82","2.97","20.15%","18.79%","17.16%","1.25%","0.20"
00003,"White Painted Room Ceiling","","","0.94","92.42","-0.09","5.88","84.62%","82.06%","72.63%","0.44%","0.20"
00004,"Light Brown Wooden Doors","","","0.72","69.74","5.69","24.04","52.35%","38.15%","19.30%","2.01%","0.10"
00005,"Whiteboard Door","","","1.03","92.53","-1.56","-1.38","77.49%","81.53%","82.99%","5.49%","0.01"
00006,"Dark Grey Floor Tiles Nonslip","","","0.95","54.90","-0.40","3.48","23.41%","22.86%","20.48%","0.15%","0.30"
00007,"Light Grey Floor Tiles Nonslip","","","0.90","70.38","0.20","8.57","44.42%","41.40%","33.28%","0.19%","0.30"
00008,"White Painted Corridor Walls","","","0.95","91.39","-0.40","5.18","81.43%","79.84%","71.50%","0.39%","0.20"
00009,"Orange Painted Corridor Walls","","","0.44","52.77","23.90","34.17","42.89%","16.20%","5.28%","0.08%","0.20"
00010,"Purple Painted Corridor Walls","","","1.22","49.31","0.74","-10.84","16.10%","17.25%","24.47%","0.00%","0.20"
00011,"Dark Grey Tiles On Lift Lobby","","","0.98","53.42","-0.49","1.96","21.67%","21.42%","20.13%","0.10%","0.20"
00012,"Light Grey Tiles On Lift Lobby","","","0.94","73.01","-0.35","6.15","47.13%","45.34%","38.91%","0.26%","0.20"
00013,"Lift Interior Door","","","0.96","70.96","0.43","3.57","34.01%","31.90%","27.87%","14.99%","0.05"
00014,"Grey Painted Door Dry Riser","","","0.99","65.81","-0.39","1.38","34.55%","34.65%","33.19%","0.93%","0.20"
00015,"White Painted Door","","","0.95","90.97","0.37","5.10","81.26%","78.00%","70.21%","2.54%","0.10"
00016,"Black Painted Door","","","1.01","25.54","0.06","-0.45","1.09%","1.11%","1.21%","3.52%","0.10"
00017,"Dark Grey Stone Tiles","","","0.98","57.23","-0.61","2.00","25.14%","25.30%","23.68%","0.10%","0.30"
00018,"Light Grey Stone Tiles","","","0.98","59.81","-0.51","1.97","28.05%","28.11%","26.44%","0.00%","0.30"
00019,"Dark Grey Stone Tiles","","","0.98","58.66","-0.68","1.85","26.59%","26.85%","25.28%","0.06%","0.30"
00020,"Yellow Painted Stone Tiles","","","0.34","75.24","19.47","63.99","85.21%","45.21%","2.99%","0.26%","0.30"
00021,"Grey Sidewalk Metal Clad","","","1.06","41.88","-0.56","-2.84","10.40%","11.19%","12.43%","1.43%","0.20"
00022,"Yellow Painted Walls","","","0.53","75.51","0.36","52.70","63.03%","51.80%","8.29%","0.07%","0.20"
00023,"Light Grey Plastic Railing","","","0.97","57.54","-0.24","2.68","25.37%","24.99%","22.96%","0.82%","0.20"
00024,"Railing Curb","","","1.05","41.24","-0.58","-2.39","10.80%","11.50%","12.48%","0.63%","0.20"
00025,"Wooden Floor Planks","","","0.60","38.05","10.81","17.06","16.41%","8.83%","4.58%","0.17%","0.20"
00026,"Wooden Door","","","0.87","26.26","5.03","3.15","5.60%","3.70%","3.38%","0.79%","0.20"
00027,"Grey Aluminium Facade Clading","","","0.95","51.71","-0.16","3.51","18.80%","18.35%","16.08%","2.07%","0.10"
00028,"Wooden Bench","","","0.64","36.47","8.76","14.26","13.91%","8.16%","4.60%","0.30%","0.20"
00029,"Brushed Metal Joint Of Wooden Bench","","","0.94","76.67","0.65","5.13","48.43%","45.16%","38.97%","10.55%","0.05"
00030,"Dark Grey Floor","","","0.99","47.42","0.05","0.39","15.66%","15.56%","15.34%","0.93%","0.20"
00031,"Offwhite Floor","","","0.92","83.35","0.61","7.57","66.36%","62.18%","52.46%","2.13%","0.20"
00032,"Steel Railing","","","0.91","70.72","1.02","7.46","39.75%","35.60%","27.97%","9.49%","0.05"
00033,"Violet Painted Walls","","","1.30","72.76","9.59","-22.04","46.35%","39.73%","70.93%","0.04%","0.20"
00034,"Violet Painted Interior Walls","","","1.18","71.25","9.58","-14.28","47.67%","37.99%","58.19%","0.08%","0.20"
00035,"Black Wooden Stage Floor","","","0.98","25.98","0.53","0.54","3.94%","3.74%","3.64%","1.01%","0.20"
00036,"Grey Painted Interior Wall Ornament","","","1.00","33.57","0.68","-0.46","7.94%","7.74%","7.94%","0.00%","0.20"
00037,"Blue Tiles","","","1.46","46.38","-5.78","-17.61","4.74%","11.98%","22.56%","4.44%","0.10"
00038,"Turquoise Tiles","","","1.52","53.02","-22.53","-10.27","2.49%","20.40%","24.89%","4.41%","0.10"
00039,"Light Green Tiles","","","0.94","59.24","-7.04","9.65","22.60%","26.75%","18.15%","3.09%","0.10"
00040,"Blue Green Painted Walls","","","1.75","50.24","-31.51","-12.78","-0.13%","20.92%","26.01%","1.40%","0.20"
00041,"Dark Grey Painted Floor","","","1.06","42.83","-1.16","-2.58","10.53%","11.70%","12.74%","1.68%","0.20"
00042,"Light Grey Painted Floor","","","0.95","67.19","-0.36","3.82","36.48%","35.96%","32.14%","1.92%","0.20"
00043,"White Painted Pillars","","","0.93","94.41","0.00","6.73","89.88%","86.74%","75.60%","0.54%","0.20"
00044,"Grey Painted Pillars","","","0.95","51.52","0.33","2.92","19.20%","18.55%","16.70%","1.54%","0.20"
00045,"Blue Painted Walls","","","1.99","57.17","-11.78","-34.88","6.77%","25.23%","56.85%","0.00%","0.20"
00046,"Mosaic Floor","","","1.02","70.38","-0.65","0.24","40.54%","40.25%","40.17%","1.48%","0.20"
00047,"Interior Cladding Lift","","","1.00","69.19","-0.49","0.22","38.52%","39.24%","38.69%","0.99%","0.20"
00048,"Wooden Interior Wall Cladding","","","0.52","46.70","16.40","26.42","28.55%","12.78%","4.77%","0.60%","0.20"
00049,"Plastic Sideboard","","","0.99","94.96","-1.17","1.82","86.37%","87.65%","83.92%","3.83%","0.10"
00050,"Black Stone Tiles","","","1.03","32.48","-0.56","-1.20","6.58%","6.95%","7.27%","0.43%","0.20"
00051,"Aluminium Grey Overhang","","","0.96","51.23","0.06","2.34","18.35%","17.87%","16.41%","2.01%","0.10"
00052,"Clean Dark Pink Painted Wall","","","0.80","50.46","21.50","4.57","33.94%","14.12%","16.44%","0.00%","0.20"
00053,"Dirty Dark Pink Painted Wall","","","0.79","53.40","17.24","7.93","35.33%","17.51%","16.90%","0.00%","0.20"
00054,"Aluminium Green Overhang","","","0.66","58.98","-13.70","36.66","22.78%","29.95%","4.83%","2.10%","0.20"
00055,"Aluminium White Cladding","","","0.98","74.25","-0.16","2.04","46.52%","46.17%","43.68%","2.07%","0.10"
00056,"Clean Green Painted Wall","","","0.67","76.53","-14.16","41.60","47.12%","58.20%","14.95%","0.08%","0.20"
00057,"Metal Railing","","","0.93","69.07","0.82","5.58","31.85%","28.55%","22.63%","15.16%","0.05"
00058,"Dark Grey Tiles","","","0.99","38.56","0.29","0.56","9.54%","9.25%","9.08%","1.22%","0.20"
00059,"Grey Floor Tiles","","","0.98","42.34","-0.29","1.41","12.84%","12.76%","12.09%","0.01%","0.20"
00060,"Purple Cubicle Door","","","1.06","78.73","7.69","-7.39","60.61%","50.21%","63.20%","0.97%","0.20"
00061,"Porcelain White Sink","","","0.99","92.20","-0.31","1.12","80.45%","80.54%","78.46%","4.30%","0.05"
00062,"Interior Flooring","","","1.01","68.15","-0.68","0.16","36.99%","37.68%","37.29%","1.07%","0.20"
00063,"White Cupboard Top Surface","","","0.99","93.92","-1.10","2.52","84.78%","85.53%","80.93%","1.27%","0.20"
00064,"White Cupboard Side Surface","","","0.99","94.27","-1.11","2.30","85.46%","86.32%","82.06%","1.35%","0.20"
00065,"Grey Door Frame","","","0.95","52.16","0.29","2.53","20.02%","19.51%","17.84%","1.08%","0.20"
00066,"Wooden Textured Table Top","","","0.55","53.23","14.97","28.99","36.03%","18.24%","6.71%","0.58%","0.20"
00067,"White Metal Table Frame","","","0.97","92.96","0.44","3.54","85.40%","82.58%","77.07%","1.48%","0.10"
00068,"Whiteboard Surface Moveable Panel","","","0.97","89.61","-0.45","3.11","75.04%","74.59%","69.29%","5.20%","0.10"
00069,"Moveable Panel Wall","","","0.99","94.89","-1.09","1.83","86.60%","87.66%","84.12%","2.09%","0.05"
00070,"White Painted Walls","","","0.93","93.16","-0.54","6.71","85.93%","84.19%","73.00%","0.35%","0.20"
00071,"White Electrical Chase","","","0.95","92.17","-0.45","5.26","82.97%","81.31%","72.66%","1.79%","0.20"
00072,"White Ceiling Panels","","","0.98","93.73","-0.42","3.03","85.74%","84.95%","79.80%","0.47%","0.30"
00073,"Metal Reflector On Ceiling","","","1.02","80.36","-0.32","-0.94","20.71%","22.91%","24.66%","44.82%","0.01"
00074,"Whiteboard","","","0.96","94.57","-1.09","5.13","86.91%","86.66%","77.05%","6.68%","0.01"
00075,"Metal Ledge Of Whiteboard","","","0.95","79.43","0.60","4.78","53.01%","49.72%","43.49%","11.77%","0.05"
00076,"Light Grey Electrical Chase","","","0.98","75.77","-0.11","2.14","50.06%","49.36%","46.85%","0.51%","0.20"
00077,"White Painted Corridor Ceiling","","","0.94","94.55","-0.17","6.38","89.77%","87.09%","76.44%","0.53%","0.20"
00078,"Black Ceiling","","","1.00","26.94","0.20","-0.24","4.60%","4.56%","4.63%","0.52%","0.20"
00079,"Blackboard","","","1.00","23.29","0.11","-0.07","3.88%","3.86%","3.88%","0.02%","0.30"
00080,"Wooden Frame Of Blackboard","","","0.66","66.38","6.77","29.74","49.34%","33.56%","13.28%","1.61%","0.20"
00081,"Aluminium Purple Overhang","","","1.03","72.67","3.98","-2.96","47.43%","41.50%","46.66%","2.10%","0.10"
00082,"Exterior White Painted Concrete Slab","","","1.01","92.79","-0.75","0.34","81.80%","82.60%","81.79%","0.39%","0.20"
00083,"Aluminium Grey Exterior Cladding","","","0.98","74.49","-0.19","1.74","46.59%","46.39%","44.21%","2.37%","0.20"
00084,"Aluminium White Handrail","","","1.02","90.97","-1.56","-0.12","75.79%","78.65%","78.11%","1.72%","0.20"
00085,"Green Cubicle Doors","","","0.70","78.64","-16.37","40.73","48.06%","62.01%","16.24%","1.27%","0.20"
00086,"Dark Grey Aluminium Roof Lining","","","0.96","50.99","0.18","2.51","18.50%","17.97%","16.41%","1.65%","0.20"
